,AUC
A+,0.9993643279967035
A-,0.9981590163222511
AB+,0.999370410103261
AB-,0.9963268858800773
B+,0.9996963106206428
B-,0.9998828527693606
O+,0.9973447668740956
O-,0.9979422084623323
